val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
0.8262136578559875,0.7014999985694885,0,79,,,,
,,0,79,1.1766972541809082,0.6198750138282776,,
0.6688975691795349,0.7649999856948853,1,159,,,,
,,1,159,0.7320029139518738,0.7419999837875366,,
0.6154345273971558,0.7789999842643738,2,239,,,,
,,2,239,0.6323404312133789,0.7818750143051147,,
0.574280321598053,0.7985000014305115,3,319,,,,
,,3,319,0.584656834602356,0.7928749918937683,,
0.5377487540245056,0.8069999814033508,4,399,,,,
,,4,399,0.5492792129516602,0.8082500100135803,,
0.5443662405014038,0.8084999918937683,5,479,,,,
,,5,479,0.5278664231300354,0.8130000233650208,,
0.5172196626663208,0.8100000023841858,6,559,,,,
,,6,559,0.5100706219673157,0.8196250200271606,,
0.5095998048782349,0.8174999952316284,7,639,,,,
,,7,639,0.4919772744178772,0.8270000219345093,,
0.5166288018226624,0.7919999957084656,8,719,,,,
,,8,719,0.47983962297439575,0.8295000195503235,,
0.5081232786178589,0.8069999814033508,9,799,,,,
,,9,799,0.4706661105155945,0.8316249847412109,,
0.48582881689071655,0.8174999952316284,10,879,,,,
,,10,879,0.451323926448822,0.8427500128746033,,
0.49781548976898193,0.8184999823570251,11,959,,,,
,,11,959,0.4516598880290985,0.8402500152587891,,
0.48871558904647827,0.8195000290870667,12,1039,,,,
,,12,1039,0.44963955879211426,0.8386250138282776,,
0.47272196412086487,0.8220000267028809,13,1119,,,,
,,13,1119,0.4338589608669281,0.843874990940094,,
0.47009584307670593,0.8270000219345093,14,1199,,,,
,,14,1199,0.42606037855148315,0.8504999876022339,,
0.4991298019886017,0.8019999861717224,15,1279,,,,
,,15,1279,0.42160162329673767,0.8501250147819519,,
0.46353790163993835,0.8320000171661377,16,1359,,,,
,,16,1359,0.42322883009910583,0.8507500290870667,,
0.4661467373371124,0.828499972820282,17,1439,,,,
,,17,1439,0.40803563594818115,0.8556249737739563,,
0.46560442447662354,0.8295000195503235,18,1519,,,,
,,18,1519,0.40126025676727295,0.8557500243186951,,
0.5006428956985474,0.8109999895095825,19,1599,,,,
,,19,1599,0.39611613750457764,0.8566250205039978,,
0.45629605650901794,0.8305000066757202,20,1679,,,,
,,20,1679,0.3945319950580597,0.8565000295639038,,
0.4677850008010864,0.8255000114440918,21,1759,,,,
,,21,1759,0.38984909653663635,0.8578749895095825,,
0.4591578245162964,0.8349999785423279,22,1839,,,,
,,22,1839,0.3869839608669281,0.8601250052452087,,
0.47809508442878723,0.8220000267028809,23,1919,,,,
,,23,1919,0.37405943870544434,0.8657500147819519,,
0.4577598571777344,0.8389999866485596,24,1999,,,,
,,24,1999,0.365185022354126,0.8691250085830688,,
0.45734402537345886,0.8335000276565552,25,2079,,,,
,,25,2079,0.37039583921432495,0.8641250133514404,,
0.48714926838874817,0.824999988079071,26,2159,,,,
,,26,2159,0.360747754573822,0.8694999814033508,,
0.46277669072151184,0.8255000114440918,27,2239,,,,
,,27,2239,0.3620296120643616,0.8702499866485596,,
0.4807870090007782,0.8299999833106995,28,2319,,,,
,,28,2319,0.35624635219573975,0.8733749985694885,,
0.44579246640205383,0.8339999914169312,29,2399,,,,
,,29,2399,0.3492649793624878,0.8731250166893005,,
0.45172545313835144,0.8420000076293945,30,2479,,,,
,,30,2479,0.3485323488712311,0.8731250166893005,,
0.4480690062046051,0.840499997138977,31,2559,,,,
,,31,2559,0.34455642104148865,0.8758749961853027,,
0.46040239930152893,0.8395000100135803,32,2639,,,,
,,32,2639,0.3388718366622925,0.878000020980835,,
0.4863300919532776,0.8209999799728394,33,2719,,,,
,,33,2719,0.33748188614845276,0.8797500133514404,,
0.4482770264148712,0.840499997138977,34,2799,,,,
,,34,2799,0.3300785422325134,0.8823750019073486,,
0.4744639992713928,0.8295000195503235,35,2879,,,,
,,35,2879,0.3337070941925049,0.8812500238418579,,
0.4393403232097626,0.8345000147819519,36,2959,,,,
,,36,2959,0.324451744556427,0.8840000033378601,,
0.5123226642608643,0.8274999856948853,37,3039,,,,
,,37,3039,0.3196239173412323,0.890625,,
0.45428210496902466,0.8320000171661377,38,3119,,,,
,,38,3119,0.3078208863735199,0.890250027179718,,
0.44982343912124634,0.8385000228881836,39,3199,,,,
,,39,3199,0.3144396245479584,0.887374997138977,,
0.4867805540561676,0.8379999995231628,40,3279,,,,
,,40,3279,0.30994004011154175,0.8893749713897705,,
0.4448615312576294,0.8389999866485596,41,3359,,,,
,,41,3359,0.3120911419391632,0.8883749842643738,,
0.45777758955955505,0.8414999842643738,42,3439,,,,
,,42,3439,0.3057934045791626,0.890749990940094,,
0.4433055520057678,0.8364999890327454,43,3519,,,,
,,43,3519,0.2983376383781433,0.8930000066757202,,
0.45584836602211,0.8429999947547913,44,3599,,,,
,,44,3599,0.2970612049102783,0.893625020980835,,
0.44532886147499084,0.8399999737739563,45,3679,,,,
,,45,3679,0.2966638207435608,0.8941249847412109,,
0.46022745966911316,0.8429999947547913,46,3759,,,,
,,46,3759,0.2913234829902649,0.8942499756813049,,
0.5049632787704468,0.8109999895095825,47,3839,,,,
,,47,3839,0.2899415194988251,0.8966249823570251,,
0.4537259340286255,0.8379999995231628,48,3919,,,,
,,48,3919,0.2794063687324524,0.9011250138282776,,
0.45157867670059204,0.8364999890327454,49,3999,,,,
,,49,3999,0.2781272232532501,0.9037500023841858,,
0.45160144567489624,0.8414999842643738,50,4079,,,,
,,50,4079,0.27819162607192993,0.9014999866485596,,
0.4587726891040802,0.840499997138977,51,4159,,,,
,,51,4159,0.2742246389389038,0.9048749804496765,,
0.47480955719947815,0.8295000195503235,52,4239,,,,
,,52,4239,0.2725805938243866,0.9041249752044678,,
0.4592648148536682,0.840499997138977,53,4319,,,,
,,53,4319,0.2690761983394623,0.903249979019165,,
0.4667373597621918,0.8450000286102295,54,4399,,,,
,,54,4399,0.2686155438423157,0.9067500233650208,,
0.48248717188835144,0.8355000019073486,55,4479,,,,
,,55,4479,0.26130083203315735,0.9051250219345093,,
0.4598415493965149,0.8420000076293945,56,4559,,,,
,,56,4559,0.2565224766731262,0.909250020980835,,
0.4563506841659546,0.8379999995231628,57,4639,,,,
,,57,4639,0.2562779486179352,0.9054999947547913,,
0.4879301190376282,0.8355000019073486,58,4719,,,,
,,58,4719,0.2585943937301636,0.909250020980835,,
0.4704125225543976,0.8355000019073486,59,4799,,,,
,,59,4799,0.2537066340446472,0.9110000133514404,,
0.4652850329875946,0.8305000066757202,60,4879,,,,
,,60,4879,0.2579929232597351,0.9083750247955322,,
0.4717356264591217,0.8414999842643738,61,4959,,,,
,,61,4959,0.24939057230949402,0.9112499952316284,,
0.4569001793861389,0.8395000100135803,62,5039,,,,
,,62,5039,0.2466709464788437,0.9120000004768372,,
0.46794551610946655,0.843500018119812,63,5119,,,,
,,63,5119,0.24238896369934082,0.9148749709129333,,
0.5015577673912048,0.8339999914169312,64,5199,,,,
,,64,5199,0.2450876533985138,0.9154999852180481,,
0.47444432973861694,0.8364999890327454,65,5279,,,,
,,65,5279,0.23887589573860168,0.9178749918937683,,
0.46668481826782227,0.8374999761581421,66,5359,,,,
,,66,5359,0.2345438301563263,0.9164999723434448,,
0.4787667393684387,0.8349999785423279,67,5439,,,,
,,67,5439,0.23039540648460388,0.9169999957084656,,
0.4835757911205292,0.8330000042915344,68,5519,,,,
,,68,5519,0.23244328796863556,0.9160000085830688,,
0.465945839881897,0.8399999737739563,69,5599,,,,
,,69,5599,0.2326277792453766,0.9181249737739563,,
0.46221864223480225,0.8429999947547913,70,5679,,,,
,,70,5679,0.22599273920059204,0.9200000166893005,,
0.4582512080669403,0.8379999995231628,71,5759,,,,
,,71,5759,0.2277947962284088,0.9191250205039978,,
0.4827689826488495,0.8429999947547913,72,5839,,,,
,,72,5839,0.22833505272865295,0.921500027179718,,
0.4667285680770874,0.840499997138977,73,5919,,,,
,,73,5919,0.22167900204658508,0.9232500195503235,,
0.48279494047164917,0.8379999995231628,74,5999,,,,
,,74,5999,0.21031776070594788,0.9273750185966492,,
0.5271459817886353,0.8149999976158142,75,6079,,,,
,,75,6079,0.21786680817604065,0.925125002861023,,
0.479005366563797,0.8355000019073486,76,6159,,,,
,,76,6159,0.20850133895874023,0.9247499704360962,,
0.4882815480232239,0.8355000019073486,77,6239,,,,
,,77,6239,0.21032893657684326,0.9259999990463257,,
0.4788532853126526,0.847000002861023,78,6319,,,,
,,78,6319,0.21063074469566345,0.9244999885559082,,
0.49086642265319824,0.8314999938011169,79,6399,,,,
,,79,6399,0.20900358259677887,0.924875020980835,,
0.4818896949291229,0.8385000228881836,80,6479,,,,
,,80,6479,0.2032851278781891,0.9336249828338623,,
0.48491525650024414,0.8349999785423279,81,6559,,,,
,,81,6559,0.1979224681854248,0.9315000176429749,,
0.527144730091095,0.8299999833106995,82,6639,,,,
,,82,6639,0.1948271244764328,0.9375,,
0.4747665822505951,0.8370000123977661,83,6719,,,,
,,83,6719,0.19333326816558838,0.9366250038146973,,
0.5023701190948486,0.8395000100135803,84,6799,,,,
,,84,6799,0.1913992315530777,0.9351249933242798,,
0.48591870069503784,0.8314999938011169,85,6879,,,,
,,85,6879,0.18821530044078827,0.9351249933242798,,
0.5065206289291382,0.8240000009536743,86,6959,,,,
,,86,6959,0.19058740139007568,0.9336249828338623,,
0.4976154863834381,0.8414999842643738,87,7039,,,,
,,87,7039,0.1881808191537857,0.9352499842643738,,
0.5546788573265076,0.8289999961853027,88,7119,,,,
,,88,7119,0.18207651376724243,0.9362499713897705,,
0.49709147214889526,0.8379999995231628,89,7199,,,,
,,89,7199,0.18831989169120789,0.934249997138977,,
0.48468777537345886,0.8360000252723694,90,7279,,,,
,,90,7279,0.18894168734550476,0.9330000281333923,,
0.5098415613174438,0.8339999914169312,91,7359,,,,
,,91,7359,0.17780999839305878,0.9398750066757202,,
0.49383068084716797,0.8355000019073486,92,7439,,,,
,,92,7439,0.18299755454063416,0.9353749752044678,,
0.5175944566726685,0.8314999938011169,93,7519,,,,
,,93,7519,0.1771748960018158,0.937874972820282,,
0.49991413950920105,0.8364999890327454,94,7599,,,,
,,94,7599,0.17117083072662354,0.9418749809265137,,
0.49262091517448425,0.8385000228881836,95,7679,,,,
,,95,7679,0.17327865958213806,0.9388750195503235,,
0.5091229677200317,0.8339999914169312,96,7759,,,,
,,96,7759,0.17056149244308472,0.9403749704360962,,
0.5249598026275635,0.8320000171661377,97,7839,,,,
,,97,7839,0.1772090494632721,0.9380000233650208,,
0.5097429156303406,0.8320000171661377,98,7919,,,,
,,98,7919,0.16911354660987854,0.9415000081062317,,
0.5036774277687073,0.8320000171661377,99,7999,,,,
,,99,7999,0.16859066486358643,0.9453750252723694,,
0.522141695022583,0.8314999938011169,100,8079,,,,
,,100,8079,0.15937526524066925,0.9484999775886536,,
0.5119942426681519,0.8395000100135803,101,8159,,,,
,,101,8159,0.15900979936122894,0.9457499980926514,,
0.5079522728919983,0.8410000205039978,102,8239,,,,
,,102,8239,0.15856531262397766,0.9481250047683716,,
0.50052410364151,0.8379999995231628,103,8319,,,,
,,103,8319,0.1579241156578064,0.9483749866485596,,
0.5168563723564148,0.8385000228881836,104,8399,,,,
,,104,8399,0.15836483240127563,0.9459999799728394,,
0.5184228420257568,0.8355000019073486,105,8479,,,,
,,105,8479,0.1516345739364624,0.9496250152587891,,
0.5160529613494873,0.8379999995231628,106,8559,,,,
,,106,8559,0.1527816504240036,0.9492499828338623,,
0.5104885101318359,0.8364999890327454,107,8639,,,,
,,107,8639,0.14846445620059967,0.9497500061988831,,
0.5494515299797058,0.8270000219345093,108,8719,,,,
,,108,8719,0.14927531778812408,0.9508749842643738,,
0.5310461521148682,0.8355000019073486,109,8799,,,,
,,109,8799,0.14701154828071594,0.9513750076293945,,
0.5235888957977295,0.8324999809265137,110,8879,,,,
,,110,8879,0.14137761294841766,0.9547500014305115,,
0.5332785844802856,0.8360000252723694,111,8959,,,,
,,111,8959,0.1637444943189621,0.9482499957084656,,
0.5148932337760925,0.8370000123977661,112,9039,,,,
,,112,9039,0.15272830426692963,0.9483749866485596,,
0.526531994342804,0.8374999761581421,113,9119,,,,
,,113,9119,0.14073333144187927,0.953249990940094,,
0.5190625786781311,0.8364999890327454,114,9199,,,,
,,114,9199,0.13371571898460388,0.9576249718666077,,
