val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
0.7766488790512085,0.7360000014305115,0,79,,,,
,,0,79,1.1063635349273682,0.6439999938011169,,
0.6992560625076294,0.7480000257492065,1,159,,,,
,,1,159,0.6969299912452698,0.7561249732971191,,
0.5936705470085144,0.784500002861023,2,239,,,,
,,2,239,0.6194280982017517,0.781499981880188,,
0.5579884648323059,0.800000011920929,3,319,,,,
,,3,319,0.5712459683418274,0.800000011920929,,
0.5844974517822266,0.777999997138977,4,399,,,,
,,4,399,0.556099534034729,0.8046249747276306,,
0.5317429900169373,0.8065000176429749,5,479,,,,
,,5,479,0.5284260511398315,0.812874972820282,,
0.5094339847564697,0.8165000081062317,6,559,,,,
,,6,559,0.5171701312065125,0.8152499794960022,,
0.5184779763221741,0.8025000095367432,7,639,,,,
,,7,639,0.5004345178604126,0.8253750205039978,,
0.5229588747024536,0.8190000057220459,8,719,,,,
,,8,719,0.4863373041152954,0.8273749947547913,,
0.52595454454422,0.8174999952316284,9,799,,,,
,,9,799,0.4790596067905426,0.8308749794960022,,
0.49170342087745667,0.8305000066757202,10,879,,,,
,,10,879,0.4762229323387146,0.824874997138977,,
0.48730647563934326,0.8195000290870667,11,959,,,,
,,11,959,0.46593138575553894,0.8382499814033508,,
0.4934169054031372,0.828499972820282,12,1039,,,,
,,12,1039,0.45508578419685364,0.8385000228881836,,
0.48655951023101807,0.8195000290870667,13,1119,,,,
,,13,1119,0.45489755272865295,0.8379999995231628,,
0.4844772517681122,0.8184999823570251,14,1199,,,,
,,14,1199,0.4415193200111389,0.8429999947547913,,
0.4932451844215393,0.8169999718666077,15,1279,,,,
,,15,1279,0.4330625534057617,0.843874990940094,,
0.486177921295166,0.8240000009536743,16,1359,,,,
,,16,1359,0.42434731125831604,0.8493750095367432,,
0.5227866768836975,0.809499979019165,17,1439,,,,
,,17,1439,0.4202856719493866,0.8514999747276306,,
0.5263937711715698,0.796999990940094,18,1519,,,,
,,18,1519,0.4188728630542755,0.8523749709129333,,
0.5099437236785889,0.809499979019165,19,1599,,,,
,,19,1599,0.41885900497436523,0.8507500290870667,,
0.47479793429374695,0.828000009059906,20,1679,,,,
,,20,1679,0.4133950173854828,0.8526250123977661,,
0.4690956175327301,0.8174999952316284,21,1759,,,,
,,21,1759,0.4047423005104065,0.8560000061988831,,
0.5086550116539001,0.8130000233650208,22,1839,,,,
,,22,1839,0.4004354178905487,0.8541250228881836,,
0.48743969202041626,0.8240000009536743,23,1919,,,,
,,23,1919,0.39711859822273254,0.8576250076293945,,
0.4572848379611969,0.8324999809265137,24,1999,,,,
,,24,1999,0.3906501829624176,0.8602499961853027,,
0.46393337845802307,0.828499972820282,25,2079,,,,
,,25,2079,0.38578441739082336,0.8612499833106995,,
0.4767470955848694,0.8224999904632568,26,2159,,,,
,,26,2159,0.3785465955734253,0.8654999732971191,,
0.5005693435668945,0.8190000057220459,27,2239,,,,
,,27,2239,0.3787117600440979,0.8615000247955322,,
0.4838124215602875,0.8220000267028809,28,2319,,,,
,,28,2319,0.37111103534698486,0.8654999732971191,,
0.504280686378479,0.8090000152587891,29,2399,,,,
,,29,2399,0.37655171751976013,0.862375020980835,,
0.5116897225379944,0.8305000066757202,30,2479,,,,
,,30,2479,0.3693268299102783,0.8654999732971191,,
0.46373626589775085,0.8305000066757202,31,2559,,,,
,,31,2559,0.3711751103401184,0.8658750057220459,,
0.4893665909767151,0.815500020980835,32,2639,,,,
,,32,2639,0.35802048444747925,0.8708750009536743,,
0.45804789662361145,0.8355000019073486,33,2719,,,,
,,33,2719,0.3515323996543884,0.875124990940094,,
0.4679439663887024,0.8245000243186951,34,2799,,,,
,,34,2799,0.3550534248352051,0.8708750009536743,,
0.48552975058555603,0.828499972820282,35,2879,,,,
,,35,2879,0.352470338344574,0.8728749752044678,,
0.4760211408138275,0.8195000290870667,36,2959,,,,
,,36,2959,0.34801703691482544,0.875,,
0.45914629101753235,0.828499972820282,37,3039,,,,
,,37,3039,0.3431161940097809,0.8771250247955322,,
0.47050511837005615,0.8339999914169312,38,3119,,,,
,,38,3119,0.339192271232605,0.8771250247955322,,
0.48738619685173035,0.824999988079071,39,3199,,,,
,,39,3199,0.3361068367958069,0.8797500133514404,,
0.5498484969139099,0.7889999747276306,40,3279,,,,
,,40,3279,0.3335433006286621,0.8806250095367432,,
0.46429339051246643,0.8330000042915344,41,3359,,,,
,,41,3359,0.32866600155830383,0.8826249837875366,,
0.5335870981216431,0.8184999823570251,42,3439,,,,
,,42,3439,0.3369591534137726,0.8778749704360962,,
0.4726857841014862,0.8320000171661377,43,3519,,,,
,,43,3519,0.32292771339416504,0.8833749890327454,,
0.46119046211242676,0.8289999961853027,44,3599,,,,
,,44,3599,0.3187659680843353,0.8861250281333923,,
0.4648463726043701,0.8264999985694885,45,3679,,,,
,,45,3679,0.31331685185432434,0.8893749713897705,,
0.4571637511253357,0.8330000042915344,46,3759,,,,
,,46,3759,0.318848192691803,0.8838750123977661,,
0.46596047282218933,0.8370000123977661,47,3839,,,,
,,47,3839,0.3101731538772583,0.890250027179718,,
0.5166029930114746,0.8169999718666077,48,3919,,,,
,,48,3919,0.3170299232006073,0.8861250281333923,,
0.5322742462158203,0.8040000200271606,49,3999,,,,
,,49,3999,0.30856841802597046,0.8882499933242798,,
0.4782394766807556,0.8259999752044678,50,4079,,,,
,,50,4079,0.307077556848526,0.8897500038146973,,
0.47411179542541504,0.8264999985694885,51,4159,,,,
,,51,4159,0.2970762550830841,0.893875002861023,,
0.4686810076236725,0.8309999704360962,52,4239,,,,
,,52,4239,0.2989366054534912,0.8933749794960022,,
0.46666741371154785,0.8309999704360962,53,4319,,,,
,,53,4319,0.29653069376945496,0.8934999704360962,,
0.48988795280456543,0.8255000114440918,54,4399,,,,
,,54,4399,0.29520344734191895,0.8924999833106995,,
0.4912002682685852,0.828000009059906,55,4479,,,,
,,55,4479,0.2846842110157013,0.8997499942779541,,
0.4792235195636749,0.8349999785423279,56,4559,,,,
,,56,4559,0.28999510407447815,0.8960000276565552,,
0.5126148462295532,0.8134999871253967,57,4639,,,,
,,57,4639,0.2809159457683563,0.9017500281333923,,
0.4760849177837372,0.8270000219345093,58,4719,,,,
,,58,4719,0.2800305187702179,0.8982499837875366,,
0.4717670679092407,0.8324999809265137,59,4799,,,,
,,59,4799,0.2841033339500427,0.8956249952316284,,
0.4723120331764221,0.8320000171661377,60,4879,,,,
,,60,4879,0.28404876589775085,0.8971250057220459,,
0.4731598496437073,0.8360000252723694,61,4959,,,,
,,61,4959,0.2660781741142273,0.9051250219345093,,
0.4892213046550751,0.8364999890327454,62,5039,,,,
,,62,5039,0.27524369955062866,0.9008749723434448,,
0.48357445001602173,0.8305000066757202,63,5119,,,,
,,63,5119,0.2717224061489105,0.9038749933242798,,
0.49439185857772827,0.8324999809265137,64,5199,,,,
,,64,5199,0.276519238948822,0.9008749723434448,,
0.48566749691963196,0.8330000042915344,65,5279,,,,
,,65,5279,0.27219563722610474,0.9026250243186951,,
0.48279866576194763,0.8330000042915344,66,5359,,,,
,,66,5359,0.2633744180202484,0.9051250219345093,,
0.4990907907485962,0.8364999890327454,67,5439,,,,
,,67,5439,0.25500988960266113,0.9107499718666077,,
0.4926825165748596,0.8314999938011169,68,5519,,,,
,,68,5519,0.26481255888938904,0.9070000052452087,,
0.5125213265419006,0.8320000171661377,69,5599,,,,
,,69,5599,0.2569071352481842,0.9053750038146973,,
0.48693081736564636,0.8355000019073486,70,5679,,,,
,,70,5679,0.25157177448272705,0.9083750247955322,,
0.48578810691833496,0.8389999866485596,71,5759,,,,
,,71,5759,0.24877989292144775,0.9096249938011169,,
0.48583027720451355,0.8330000042915344,72,5839,,,,
,,72,5839,0.2504046857357025,0.9104999899864197,,
0.5027092099189758,0.828499972820282,73,5919,,,,
,,73,5919,0.2485041469335556,0.909500002861023,,
0.5231249332427979,0.8215000033378601,74,5999,,,,
,,74,5999,0.24440491199493408,0.9120000004768372,,
0.5420235991477966,0.8355000019073486,75,6079,,,,
,,75,6079,0.25446394085884094,0.9089999794960022,,
0.5157517194747925,0.8364999890327454,76,6159,,,,
,,76,6159,0.23285631835460663,0.9182500243186951,,
0.512771725654602,0.8364999890327454,77,6239,,,,
,,77,6239,0.24397212266921997,0.9123749732971191,,
0.525209903717041,0.8259999752044678,78,6319,,,,
,,78,6319,0.23465704917907715,0.9147499799728394,,
0.5507882833480835,0.8080000281333923,79,6399,,,,
,,79,6399,0.24117688834667206,0.9122499823570251,,
0.5104591250419617,0.8345000147819519,80,6479,,,,
,,80,6479,0.23422816395759583,0.9137499928474426,,
0.5388062000274658,0.8174999952316284,81,6559,,,,
,,81,6559,0.22607304155826569,0.9197499752044678,,
0.5862910747528076,0.8169999718666077,82,6639,,,,
,,82,6639,0.22957512736320496,0.9162499904632568,,
0.5212975144386292,0.8309999704360962,83,6719,,,,
,,83,6719,0.22921596467494965,0.9152500033378601,,
0.621997058391571,0.8180000185966492,84,6799,,,,
,,84,6799,0.2269548773765564,0.9193750023841858,,
0.5080466866493225,0.8314999938011169,85,6879,,,,
,,85,6879,0.23124085366725922,0.9161249995231628,,
0.5489645004272461,0.828499972820282,86,6959,,,,
,,86,6959,0.22814561426639557,0.9141250252723694,,
0.5140920281410217,0.8324999809265137,87,7039,,,,
,,87,7039,0.2196146547794342,0.9226250052452087,,
0.522189199924469,0.8295000195503235,88,7119,,,,
,,88,7119,0.21314793825149536,0.9254999756813049,,
0.5031242966651917,0.8379999995231628,89,7199,,,,
,,89,7199,0.2167346477508545,0.9237499833106995,,
0.5560852289199829,0.8140000104904175,90,7279,,,,
,,90,7279,0.2109498232603073,0.9243749976158142,,
0.5144309401512146,0.8395000100135803,91,7359,,,,
,,91,7359,0.21651101112365723,0.925125002861023,,
0.5069273710250854,0.8360000252723694,92,7439,,,,
,,92,7439,0.20285312831401825,0.9298750162124634,,
0.5904767513275146,0.8105000257492065,93,7519,,,,
,,93,7519,0.21647632122039795,0.9201250076293945,,
0.5211183428764343,0.8339999914169312,94,7599,,,,
,,94,7599,0.20885415375232697,0.9253749847412109,,
0.5286098718643188,0.8289999961853027,95,7679,,,,
,,95,7679,0.21654704213142395,0.9212499856948853,,
0.5579937100410461,0.8270000219345093,96,7759,,,,
,,96,7759,0.19926737248897552,0.9311249852180481,,
0.523590087890625,0.824999988079071,97,7839,,,,
,,97,7839,0.19491353631019592,0.9322500228881836,,
0.5123866200447083,0.8345000147819519,98,7919,,,,
,,98,7919,0.1942749321460724,0.9318749904632568,,
0.5273483395576477,0.8299999833106995,99,7999,,,,
,,99,7999,0.19859890639781952,0.9321249723434448,,
,,91,8000,,,0.4446629285812378,0.8550333380699158
