val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
0.7683820724487305,0.7419999837875366,0,79,,,,
,,0,79,1.098728895187378,0.6422500014305115,,
0.6620085835456848,0.7670000195503235,1,159,,,,
,,1,159,0.7010198831558228,0.7521250247955322,,
0.590679943561554,0.7914999723434448,2,239,,,,
,,2,239,0.614912748336792,0.7847499847412109,,
0.6381939649581909,0.7630000114440918,3,319,,,,
,,3,319,0.5670129060745239,0.8015000224113464,,
0.5509190559387207,0.8019999861717224,4,399,,,,
,,4,399,0.5477085113525391,0.8062499761581421,,
0.5223055481910706,0.8130000233650208,5,479,,,,
,,5,479,0.5378561019897461,0.8091250061988831,,
0.5051735043525696,0.8195000290870667,6,559,,,,
,,6,559,0.5075699687004089,0.8216249942779541,,
0.5082411170005798,0.8105000257492065,7,639,,,,
,,7,639,0.509340763092041,0.8161249756813049,,
0.5064297318458557,0.8174999952316284,8,719,,,,
,,8,719,0.48453906178474426,0.8288750052452087,,
0.5008746385574341,0.8140000104904175,9,799,,,,
,,9,799,0.4759949743747711,0.8323749899864197,,
0.5143968462944031,0.8195000290870667,10,879,,,,
,,10,879,0.47512519359588623,0.828249990940094,,
0.48630601167678833,0.8240000009536743,11,959,,,,
,,11,959,0.45995602011680603,0.8352500200271606,,
0.5021739602088928,0.8144999742507935,12,1039,,,,
,,12,1039,0.4568989872932434,0.8357499837875366,,
0.6195176839828491,0.7630000114440918,13,1119,,,,
,,13,1119,0.44500407576560974,0.8392500281333923,,
0.478979229927063,0.8270000219345093,14,1199,,,,
,,14,1199,0.44565680623054504,0.840499997138977,,
0.4872158169746399,0.8245000243186951,15,1279,,,,
,,15,1279,0.439197838306427,0.8426250219345093,,
0.4939913749694824,0.8199999928474426,16,1359,,,,
,,16,1359,0.4278157949447632,0.846875011920929,,
0.5379731059074402,0.8065000176429749,17,1439,,,,
,,17,1439,0.42557933926582336,0.8463749885559082,,
0.47834309935569763,0.8220000267028809,18,1519,,,,
,,18,1519,0.4183920919895172,0.8486250042915344,,
0.5108770728111267,0.8209999799728394,19,1599,,,,
