train_loss,epoch,step
0.01671590283513069,0,1874
0.00994889996945858,1,3749
0.008833127096295357,2,5624
0.0075958832167088985,3,7499
0.007497322279959917,4,9374
0.0064792390912771225,5,11249
0.0062154680490493774,6,13124
0.005625254474580288,7,14999
0.005224108230322599,8,16874
0.004656060133129358,9,18749
0.004451938904821873,10,20624
0.004400145262479782,11,22499
0.004369114525616169,12,24374
0.004003231413662434,13,26249
0.0041491687297821045,14,28124
0.003928247839212418,15,29999
0.0038564084097743034,16,31874
0.003740439424291253,17,33749
0.0037570979911834,18,35624
0.0037002102471888065,19,37499
