train_loss,epoch,step,test_loss
0.019489986822009087,0,1874,
0.009219221770763397,1,3749,
0.008302506059408188,2,5624,
0.007506826426833868,3,7499,
0.005974107887595892,4,9374,
0.00552923372015357,5,11249,
0.0048568956553936005,6,13124,
0.004537172615528107,7,14999,
0.004607710987329483,8,16874,
0.004183959681540728,9,18749,
0.004171418026089668,10,20624,
0.0041663465090096,11,22499,
0.0038703775499016047,12,24374,
0.003987755626440048,13,26249,
0.0037752012722194195,14,28124,
0.003832081565633416,15,29999,
0.0038277353160083294,16,31874,
0.0037510832771658897,17,33749,
0.0036694814916700125,18,35624,
0.003824481973424554,19,37499,
,19,37500,0.17525188624858856
