val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
2.0232105255126953,0.23499999940395355,0,62,,,,
,,0,62,2.193575620651245,0.15925000607967377,,
1.76163649559021,0.3165000081062317,1,125,,,,
,,1,125,1.9271299839019775,0.2683750092983246,,
1.6533372402191162,0.37700000405311584,2,188,,,,
,,2,188,1.753479242324829,0.32725000381469727,,
1.610162615776062,0.39250001311302185,3,251,,,,
,,3,251,1.667311191558838,0.3726249933242798,,
1.6067208051681519,0.3970000147819519,4,314,,,,
,,4,314,1.615387201309204,0.3812499940395355,,
1.5851409435272217,0.3970000147819519,5,377,,,,
,,5,377,1.6065871715545654,0.3851250112056732,,
1.5317730903625488,0.4180000126361847,6,440,,,,
,,6,440,1.5839921236038208,0.3880000114440918,,
1.5281617641448975,0.4165000021457672,7,503,,,,
,,7,503,1.5582787990570068,0.40700000524520874,,
1.5167772769927979,0.4390000104904175,8,566,,,,
,,8,566,1.5349366664886475,0.41475000977516174,,
1.5158382654190063,0.41600000858306885,9,629,,,,
,,9,629,1.5213645696640015,0.4194999933242798,,
1.509514331817627,0.4205000102519989,10,692,,,,
,,10,692,1.5191161632537842,0.42250001430511475,,
1.5000814199447632,0.4404999911785126,11,755,,,,
,,11,755,1.4890165328979492,0.43687498569488525,,
1.5094709396362305,0.41999998688697815,12,818,,,,
,,12,818,1.5075989961624146,0.4258750081062317,,
1.4851740598678589,0.44449999928474426,13,881,,,,
,,13,881,1.4875295162200928,0.4325000047683716,,
1.4390504360198975,0.4645000100135803,14,944,,,,
,,14,944,1.4719756841659546,0.44437500834465027,,
1.470452904701233,0.4424999952316284,15,1007,,,,
,,15,1007,1.4624470472335815,0.4480000138282776,,
1.4320286512374878,0.4675000011920929,16,1070,,,,
,,16,1070,1.4444111585617065,0.44999998807907104,,
1.4357911348342896,0.4749999940395355,17,1133,,,,
,,17,1133,1.4214788675308228,0.45925000309944153,,
1.448466181755066,0.4584999978542328,18,1196,,,,
,,18,1196,1.428897738456726,0.468874990940094,,
1.410780429840088,0.47200000286102295,19,1259,,,,
,,19,1259,1.399904727935791,0.46924999356269836,,
1.3818140029907227,0.4805000126361847,20,1322,,,,
,,20,1322,1.3795592784881592,0.4749999940395355,,
1.3918315172195435,0.48399999737739563,21,1385,,,,
,,21,1385,1.3736398220062256,0.4883750081062317,,
1.3869425058364868,0.48249998688697815,22,1448,,,,
,,22,1448,1.3596112728118896,0.492125004529953,,
1.3781818151474,0.484499990940094,23,1511,,,,
,,23,1511,1.3449853658676147,0.49524998664855957,,
1.3670090436935425,0.4880000054836273,24,1574,,,,
,,24,1574,1.3389617204666138,0.4983749985694885,,
1.3486089706420898,0.5120000243186951,25,1637,,,,
,,25,1637,1.3163090944290161,0.5041249990463257,,
1.3560783863067627,0.5034999847412109,26,1700,,,,
,,26,1700,1.322182059288025,0.5106250047683716,,
1.3367208242416382,0.5109999775886536,27,1763,,,,
,,27,1763,1.3143737316131592,0.5109999775886536,,
1.3141213655471802,0.534500002861023,28,1826,,,,
,,28,1826,1.2793453931808472,0.5198749899864197,,
1.3349332809448242,0.5149999856948853,29,1889,,,,
,,29,1889,1.272457480430603,0.5212500095367432,,
1.3016163110733032,0.5285000205039978,30,1952,,,,
,,30,1952,1.271615743637085,0.5286250114440918,,
1.2995598316192627,0.531000018119812,31,2015,,,,
,,31,2015,1.2568162679672241,0.5331249833106995,,
1.2892297506332397,0.5254999995231628,32,2078,,,,
,,32,2078,1.2453856468200684,0.5383750200271606,,
1.2917835712432861,0.5304999947547913,33,2141,,,,
,,33,2141,1.2269513607025146,0.5488749742507935,,
1.2568316459655762,0.5404999852180481,34,2204,,,,
,,34,2204,1.255598545074463,0.5307499766349792,,
